filename,width,height,class,xmin,ymin,xmax,ymax
0000001,800.0,600.0,6,242.0,53.0,296.0,94.0
0000001,800.0,600.0,6,243.0,96.0,284.0,143.0
0000001,800.0,600.0,7,158.0,380.0,186.0,411.0
0000002,800.0,600.0,34,324.0,216.0,415.0,282.0
0000004,800.0,600.0,36,524.0,436.0,543.0,473.0
0000004,800.0,600.0,36,396.0,84.0,423.0,122.0
0000004,800.0,600.0,36,235.0,131.0,270.0,157.0
0000004,800.0,600.0,36,238.0,111.0,272.0,125.0
0000004,800.0,600.0,36,300.0,244.0,329.0,275.0
0000004,800.0,600.0,36,367.0,249.0,405.0,280.0
0000004,800.0,600.0,36,332.0,264.0,367.0,295.0
0000008,800.0,600.0,35,189.0,123.0,237.0,164.0
0000008,800.0,600.0,8,181.0,171.0,212.0,203.0
0000009,800.0,600.0,7,129.0,122.0,154.0,150.0
0000009,800.0,600.0,7,141.0,277.0,173.0,306.0
0000009,800.0,600.0,36,388.0,333.0,416.0,361.0
0000009,800.0,600.0,36,357.0,356.0,370.0,375.0
0000009,800.0,600.0,36,369.0,103.0,407.0,118.0
0000009,800.0,600.0,36,369.0,118.0,405.0,138.0
0000009,800.0,600.0,13,318.0,18.0,375.0,59.0
0000009,800.0,600.0,36,456.0,0.0,477.0,27.0
0000009,800.0,600.0,36,500.0,33.0,531.0,64.0
0000009,800.0,600.0,36,539.0,1.0,574.0,20.0
0000009,800.0,600.0,36,586.0,37.0,617.0,67.0
0000009,800.0,600.0,36,575.0,75.0,609.0,101.0
0000009,800.0,600.0,36,497.0,163.0,529.0,189.0
0000009,800.0,600.0,36,630.0,98.0,663.0,120.0
0000009,800.0,600.0,36,688.0,207.0,713.0,236.0
0000009,800.0,600.0,36,232.0,249.0,247.0,278.0
0000009,800.0,600.0,8,199.0,85.0,223.0,116.0
0000009,800.0,600.0,8,74.0,220.0,103.0,249.0
0000013,800.0,600.0,16,126.0,195.0,165.0,242.0
0000014,800.0,600.0,5,162.0,275.0,211.0,348.0
0000014,800.0,600.0,15,191.0,344.0,249.0,412.0
0000014,800.0,600.0,13,358.0,445.0,428.0,515.0
0000014,800.0,600.0,32,498.0,223.0,541.0,281.0
0000014,800.0,600.0,32,512.0,56.0,548.0,92.0
0000015,800.0,600.0,34,489.0,225.0,552.0,305.0
0000016,800.0,600.0,8,130.0,375.0,175.0,415.0
0000018,800.0,600.0,8,263.0,218.0,297.0,258.0
0000020,800.0,600.0,32,209.0,45.0,260.0,83.0
0000022,800.0,600.0,36,386.0,1.0,408.0,26.0
0000022,800.0,600.0,34,203.0,239.0,290.0,304.0
0000026,800.0,600.0,36,279.0,302.0,315.0,325.0
0000026,800.0,600.0,36,480.0,345.0,497.0,384.0
0000026,800.0,600.0,36,485.0,213.0,507.0,237.0
0000026,800.0,600.0,36,547.0,195.0,562.0,234.0
0000026,800.0,600.0,36,391.0,160.0,425.0,182.0
0000026,800.0,600.0,36,422.0,153.0,455.0,181.0
0000026,800.0,600.0,36,431.0,127.0,465.0,144.0
0000026,800.0,600.0,36,435.0,107.0,472.0,126.0
0000026,800.0,600.0,36,514.0,138.0,533.0,167.0
0000026,800.0,600.0,36,470.0,59.0,488.0,92.0
0000026,800.0,600.0,36,558.0,42.0,574.0,78.0
0000026,800.0,600.0,32,590.0,0.0,622.0,36.0
0000026,800.0,600.0,32,567.0,71.0,612.0,106.0
0000026,800.0,600.0,36,717.0,244.0,731.0,280.0
0000026,800.0,600.0,36,756.0,369.0,769.0,405.0
0000026,800.0,600.0,8,136.0,237.0,163.0,265.0
0000026,800.0,600.0,8,102.0,332.0,130.0,363.0
0000026,800.0,600.0,32,430.0,197.0,477.0,239.0
0000027,800.0,600.0,35,243.0,129.0,292.0,174.0
0000027,800.0,600.0,8,178.0,410.0,215.0,449.0
0000031,800.0,600.0,16,191.0,265.0,250.0,313.0
0000033,800.0,600.0,8,259.0,519.0,293.0,564.0
0000034,800.0,600.0,11,207.0,447.0,242.0,469.0
0000035,800.0,600.0,7,59.0,188.0,109.0,222.0
0000035,800.0,600.0,7,99.0,203.0,135.0,238.0
0000035,800.0,600.0,6,164.0,431.0,215.0,467.0
0000037,800.0,600.0,14,115.0,275.0,129.0,292.0
0000039,800.0,600.0,8,147.0,509.0,176.0,539.0
0000039,800.0,600.0,8,187.0,341.0,210.0,368.0
0000039,800.0,600.0,8,247.0,518.0,276.0,549.0
0000041,800.0,600.0,7,238.0,169.0,283.0,207.0
0000043,800.0,600.0,13,98.0,120.0,158.0,184.0
0000043,800.0,600.0,8,145.0,186.0,189.0,222.0
0000043,800.0,600.0,8,108.0,360.0,144.0,401.0
0000045,800.0,600.0,36,159.0,426.0,191.0,446.0
0000045,800.0,600.0,36,291.0,414.0,333.0,438.0
0000045,800.0,600.0,32,345.0,414.0,384.0,473.0
0000045,800.0,600.0,5,193.0,512.0,231.0,568.0
0000045,800.0,600.0,31,429.0,414.0,480.0,457.0
0000045,800.0,600.0,32,369.0,274.0,398.0,321.0
0000045,800.0,600.0,36,452.0,204.0,494.0,226.0
0000045,800.0,600.0,36,329.0,126.0,369.0,154.0
0000045,800.0,600.0,36,464.0,124.0,505.0,146.0
0000045,800.0,600.0,36,456.0,146.0,473.0,179.0
0000045,800.0,600.0,36,431.0,137.0,463.0,163.0
0000045,800.0,600.0,36,569.0,146.0,589.0,185.0
0000045,800.0,600.0,36,534.0,68.0,575.0,91.0
0000045,800.0,600.0,36,509.0,29.0,531.0,59.0
0000045,800.0,600.0,36,402.0,44.0,439.0,61.0
0000045,800.0,600.0,36,408.0,8.0,428.0,42.0
